id,name,type,date,spotifyurl,imageurl

1ORxRsK3MrSLvh7VQTF01F,Ultraviolence (Deluxe),album,2014-01-01,https://open.spotify.com/album/1ORxRsK3MrSLvh7VQTF01F,https://i.scdn.co/image/2a842650db3cb88b8cc3251f1d08ea79719f9ea3

7tSNHl6gCeuLj81GZO43Xn,Summer Bummer (Snakehips Remix),single,2017-08-25,https://open.spotify.com/album/7tSNHl6gCeuLj81GZO43Xn,https://i.scdn.co/image/43ff233076d3cbafa66b16da99680f10ba61452a

5IjSLZhlg0qVq62r2PSfM1,Born To Die,album,2012-01-30,https://open.spotify.com/album/5IjSLZhlg0qVq62r2PSfM1,https://i.scdn.co/image/26312ec4ba390abe0601205d426fa9695c9c933c

7xYiTrbTL57QO0bb4hXIKo,Lust For Life,album,2017-07-21,https://open.spotify.com/album/7xYiTrbTL57QO0bb4hXIKo,https://i.scdn.co/image/e4928937a2986dd804fb0d591eb33c2b08593692

2DpEBrjCur1ythIZ10gJWw,Honeymoon,album,2015-09-18,https://open.spotify.com/album/2DpEBrjCur1ythIZ10gJWw,https://i.scdn.co/image/d9877876221c2db62e3ca7a6bbefc6dc93df00fa

4bDu16cUgbNS4bWrkomHpo,Ultraviolence,single,2014-06-04,https://open.spotify.com/album/4bDu16cUgbNS4bWrkomHpo,https://i.scdn.co/image/a31c8237b1a29af04c2164d24a2982490c77d67f

3RQdSuT8Y2WGynwlFrJI58,Lust For Life (BloodPop® Remix),single,2017-08-25,https://open.spotify.com/album/3RQdSuT8Y2WGynwlFrJI58,https://i.scdn.co/image/d49a12ff93ce35fc5aa4fe80a311d1d679be8f58

7FBVipPDz4SsTn7L8J3O1d,Brooklyn Baby,single,2014-06-08,https://open.spotify.com/album/7FBVipPDz4SsTn7L8J3O1d,https://i.scdn.co/image/cad709ba860d65205b8cab8a026f5ba70bbc728f

3gY2PiLHPaOmYApYJYPpIi,Summer Bummer (Clams Casino Remix),single,2017-08-25,https://open.spotify.com/album/3gY2PiLHPaOmYApYJYPpIi,https://i.scdn.co/image/e447c82e77713f76ace724eb1f24f8fa85c5fe63

6nrsjfNwukTPOcybYfoN57,Ultraviolence (Hook N Sling Remix),single,2015-02-15,https://open.spotify.com/album/6nrsjfNwukTPOcybYfoN57,https://i.scdn.co/image/f2974881778b591878fb7ddb370107427a909ead

